BSSID,First_time_seen,Last_time_seen,channel,Speed,Privacy,Cipher,Authentication,Power,beacons,IV,LAN_IP,ID_length,ESSID,Key,OUI
BE:F1:71:D5:17:8B,1690535583,1690545050,1,195,WPA2,CCMP,PSK,-30,846,504,0.  0.  0.  0,12,C322U13 3965,NA,BE:F1:71
6E:C7:EC:16:DA:1A,1690535583,1690545312,1,130,WPA2,CCMP,PSK,-30,750,116,0.  0.  0.  0,4,Cnet,NA,6E:C7:EC
9A:75:A8:B9:04:1E,1690535583,1690545211,1,360,WPA2,CCMP,PSK,-68,694,26,0.  0.  0.  0,2,KC,NA,9A:75:A8
4A:EC:1E:DB:BF:95,1690535583,1690542241,7,360,WPA2,CCMP,PSK,-37,510,21,0.  0.  0.  0,14,POCO X5 Pro 5G,NA,4A:EC:1E
D2:6D:52:61:51:5D,1690535583,1690540219,6,130,WPA2,CCMP,PSK,-57,647,6,0.  0.  0.  0,25,Hidden,NA,D2:6D:52
E8:28:C1:DC:B2:52,1690535583,1690545338,6,130,OPN,NA,NA,-63,251,3430,172. 17.203.197,13,MIREA_HOTSPOT,NA,E8:28:C1
BE:F1:71:D6:10:D7,1690535583,1690545044,11,195,WPA2,CCMP,PSK,-27,1647,80,0.  0.  0.  0,12,C322U21 0566,NA,BE:F1:71
0A:C5:E1:DB:17:7B,1690535583,1690544191,11,130,WPA2,CCMP,PSK,-38,1251,11,0.  0.  0.  0,13,AndroidAP177B,NA,0A:C5:E1
38:1A:52:0D:84:D7,1690535583,1690539902,11,130,WPA2,CCMP,PSK,-38,704,0,0.  0.  0.  0,24,EBFCD57F-EE81fI_DL_1AO2T,NA,38:1A:52
BE:F1:71:D5:0E:53,1690535583,1690540161,1,195,WPA2,CCMP,PSK,-66,617,0,0.  0.  0.  0,12,C322U06 9080,NA,BE:F1:71
1E:93:E3:1B:3C:F4,1690535584,1690545217,6,180,WPA2,CCMP,PSK,-42,1390,86,0.  0.  0.  0,10,Galaxy A71,NA,1E:93:E3
1C:7E:E5:8E:B7:DE,1690535584,1690545108,14,65,WPA2,CCMP,PSK,-62,142,0,0.  0.  0.  0,0,Hidden,NA,1C:7E:E5
38:1A:52:0D:97:60,1690535585,1690539671,11,130,WPA2,CCMP,PSK,-73,28,0,0.  0.  0.  0,24,EBFCD593-EE81fI_DMJ1AOI4,NA,38:1A:52
38:1A:52:0D:90:A1,1690535586,1690544247,11,130,WPA2,CCMP,PSK,-69,112,0,0.  0.  0.  0,24,EBFCD597-EE81fI_DMN1AOe1,NA,38:1A:52
E8:28:C1:DC:B2:50,1690535586,1690545312,6,130,OPN,NA,NA,-63,260,907,172. 17. 95.169,12,MIREA_GUESTS,NA,E8:28:C1
E8:28:C1:DC:B2:51,1690535586,1690545311,6,130,OPN,NA,NA,-63,279,0,0.  0.  0.  0,0,Hidden,NA,E8:28:C1
8E:55:4A:85:5B:01,1690535586,1690545309,6,65,WPA2,CCMP,PSK,-51,248,806,0.  0.  0.  0,8,Vladimir,NA,8E:55:4A
E8:28:C1:DC:FF:F2,1690535586,1690545310,6,-1,OPN,NA,NA,-1,0,3,172. 17. 84.217,0,Hidden,NA,E8:28:C1
00:25:00:FF:94:73,1690535586,1690545381,44,-1,OPN,NA,NA,-1,0,5,0.  0.  0.  0,0,Hidden,NA,00:25:00
00:26:99:F2:7A:E2,1690535586,1690545293,1,54,WPA2,CCMP,PSK,-65,84,33,0.  0.  0.  0,4,GIVC,NA,00:26:99
48:5B:39:F9:7A:48,1690535586,1690545311,1,270,WPA2,CCMP,PSK,-61,109,0,0.  0.  0.  0,0,Hidden,NA,48:5B:39
00:26:99:F2:7A:E1,1690535586,1690545078,1,54,WPA2,CCMP,PSK,-65,65,0,0.  0.  0.  0,3,IKB,NA,00:26:99
0C:80:63:A9:6E:EE,1690535588,1690545216,3,270,WPA2,CCMP,PSK,-65,42,41,0.  0.  0.  0,0,Hidden,NA,0C:80:63
E8:28:C1:DD:04:52,1690535589,1690545365,11,130,OPN,NA,NA,-67,4,304,172. 17.216.149,13,MIREA_HOTSPOT,NA,E8:28:C1
E8:28:C1:DE:74:31,1690535593,1690540026,6,130,OPN,NA,NA,-82,2,0,0.  0.  0.  0,0,Hidden,NA,E8:28:C1
E8:28:C1:DE:74:32,1690535593,1690540783,6,130,OPN,NA,NA,-69,1,2,172. 17. 93.250,13,MIREA_HOTSPOT,NA,E8:28:C1
9E:A3:A9:D6:28:3C,1690535595,1690545046,14,65,WPA2,CCMP,PSK,-61,51,0,0.  0.  0.  0,0,Hidden,NA,9E:A3:A9
