Station_MAC,First_time_seen,Last_time_seen,Power,packets,BSSID,Probed_ESSIDs,OUI
CA:66:3B:8F:56:DD,1690535583,1690541984,-33,858,BE:F1:71:D5:17:8B,C322U13 3965,CA:66:3B
96:35:2D:3D:85:E6,1690535583,1690535583,-65,4,(not associated),IT2 Wireless,96:35:2D
5C:3A:45:9E:1A:7B,1690535583,1690545114,-39,432,BE:F1:71:D6:10:D7,C322U21 0566,5C:3A:45
C0:E4:34:D8:E7:E5,1690535583,1690545196,-61,958,BE:F1:71:D5:17:8B,C322U13 3965,C0:E4:34
5E:8E:A6:5E:34:81,1690535584,1690535584,-53,1,(not associated),Not Probing,5E:8E:A6
10:51:07:CB:33:E7,1690535585,1690545366,-43,344,(not associated),Not Probing,10:51:07
68:54:5A:40:35:9E,1690535586,1690545050,-31,163,1E:93:E3:1B:3C:F4,"C322U06 5179,Galaxy A71",68:54:5A
74:4C:A1:70:CE:F7,1690535586,1690536001,-71,3,E8:28:C1:DC:FF:F2,Not Probing,74:4C:A1
8A:A3:5A:33:76:57,1690535586,1690539627,-74,115,00:25:00:FF:94:73,Not Probing,8A:A3:5A
CA:54:C4:8B:B5:3A,1690535586,1690545304,-65,437,00:26:99:F2:7A:E2,GIVC,CA:54:C4
BC:F1:71:D4:DB:04,1690535587,1690541872,-45,265,(not associated),Not Probing,BC:F1:71
4A:C9:28:46:EE:3F,1690535588,1690544189,-65,77,0C:80:63:A9:6E:EE,KOTIKI_XXX,4A:C9:28
A6:EC:3C:AB:BA:10,1690535588,1690535589,-49,7,(not associated),Not Probing,A6:EC:3C
4C:44:5B:14:76:E3,1690535589,1690537664,-1,71,E8:28:C1:DD:04:52,Not Probing,4C:44:5B
9E:01:46:3E:EF:4E,1690535589,1690535589,-67,1,(not associated),Not Probing,9E:01:46
A0:E7:0B:AE:D5:44,1690535589,1690544082,-37,125,0A:C5:E1:DB:17:7B,AndroidAP177B,A0:E7:0B
00:95:69:E7:7F:35,1690535591,1690545367,-69,2245,(not associated),nvripcsuite,00:95:69
00:95:69:E7:7C:ED,1690535591,1690545373,-55,4096,(not associated),nvripcsuite,00:95:69
14:13:33:59:9F:AB,1690535592,1690539981,-57,849,(not associated),Not Probing,14:13:33
10:51:07:FE:77:BB,1690535593,1690539959,-57,179,(not associated),Not Probing,10:51:07
C6:DF:29:D4:31:A3,1690535593,1690535593,-75,2,(not associated),Not Probing,C6:DF:29
10:51:07:CB:33:BF,1690535593,1690545377,-43,332,(not associated),Not Probing,10:51:07
BC:F1:71:D5:17:8B,1690535593,1690545047,-29,667,(not associated),Not Probing,BC:F1:71
48:68:4A:93:DF:B4,1690535593,1690545022,-48,122,1E:93:E3:1B:3C:F4,Galaxy A71,48:68:4A
56:AB:6C:C5:C0:B4,1690535593,1690535594,-53,6,(not associated),Not Probing,56:AB:6C
28:7F:CF:23:25:53,1690535594,1690545110,-37,156,9A:75:A8:B9:04:1E,KC,28:7F:CF
F6:82:1F:63:61:FE,1690535594,1690535594,-51,1,(not associated),Gardenpasanauri,F6:82:1F
B6:0D:AB:41:5A:8A,1690535594,1690535594,-51,1,(not associated),Not Probing,B6:0D:AB
8E:D9:81:CB:CC:90,1690535595,1690535595,-57,2,(not associated),Not Probing,8E:D9:81
9A:38:1B:56:15:A1,1690535595,1690535595,-55,2,(not associated),Not Probing,9A:38:1B
00:95:69:E7:7D:21,1690535595,1690545377,-33,8171,(not associated),nvripcsuite,00:95:69
3E:80:71:81:98:53,1690535595,1690535596,-41,6,(not associated),Not Probing,3E:80:71
5A:BC:F2:73:1C:B2,1690535596,1690535596,-67,3,(not associated),podval,5A:BC:F2
BC:F1:71:D5:0E:53,1690535597,1690545010,-35,675,(not associated),Not Probing,BC:F1:71
8C:55:4A:DE:F2:38,1690535597,1690545376,-65,117,8A:A3:03:73:52:08,"MIREA_HOTSPOT,Galaxy A30s5208",8C:55:4A
8A:DF:5C:2F:65:5E,1690535598,1690535598,-43,1,(not associated),Not Probing,8A:DF:5C
06:86:08:25:A2:37,1690535598,1690535598,-43,1,(not associated),Not Probing,06:86:08
BC:F1:71:D6:10:D7,1690535599,1690545042,-31,606,(not associated),Not Probing,BC:F1:71
88:D8:2E:4F:9B:1A,1690535599,1690545084,-29,240,4A:EC:1E:DB:BF:95,POCO X5 Pro 5G,88:D8:2E
BA:8F:F5:A9:F8:04,1690535600,1690535600,-53,4,(not associated),Not Probing,BA:8F:F5
34:7D:F6:95:25:E5,1690535600,1690539619,-43,76,BE:F1:71:D5:0E:53,"C322U06 5179,C322U06 9080",34:7D:F6
BC:F1:71:D4:CC:7C,1690535601,1690544961,-29,539,(not associated),Not Probing,BC:F1:71
5A:AB:CF:56:95:9D,1690535602,1690535602,-53,2,(not associated),Not Probing,5A:AB:CF
BC:F1:71:D5:13:08,1690535602,1690539998,-43,165,(not associated),Not Probing,BC:F1:71
BC:F1:71:D5:B3:5D,1690535602,1690545054,-61,617,(not associated),Not Probing,BC:F1:71
BC:F1:71:D5:3F:C7,1690535604,1690545358,-55,463,(not associated),Not Probing,BC:F1:71
10:51:07:FF:23:B4,1690535605,1690544365,-69,22,(not associated),Not Probing,10:51:07
C6:A5:A2:B6:E6:35,1690535606,1690535606,-51,1,(not associated),Gardenpasanauri,C6:A5:A2
36:B3:12:C2:AD:CA,1690535606,1690535606,-51,1,(not associated),Not Probing,36:B3:12
E6:3D:9C:2B:61:EA,1690535606,1690535606,-51,1,(not associated),Gardenpasanauri,E6:3D:9C
